id	type	organization
org_004j997jM9yEdS7z4ReD	3	University of Basel
org_005hVGA5JMOZsS0xOhGa	3	Zetkama Spólka Akcyjna
org_00HYUv4lD9tgTZJkbeMR	2	Mirabilis Medica Inc.
org_00ilo1Mn0uzPaonlA0JC	2	Prior Knowledge, Inc.
org_00QVfWrc76g4rvR1M8Lz	3	Nad Life Pty Ltd
org_00SVvXPZicehU8DdgNcI	3	NT Consulting International Pty. Ltd.
org_00tJBISXNfVbiTSd5DWu	2	AG Geophysical Products, Inc.
org_00YUrmTN9azdF9HIUe3e	3	Active Tools International (HK) Ltd.
org_013iorc6vnRFtOWBB8cY	2	PruGen IP Holdings, Inc.
org_017F5bZ7kTisGPyXMO6E	3	Amico Clinical Solutions Corporation
org_01hXMZ4TRJYQUcMPKQeQ	2	Navolta LLC
org_01IkQLRNYB8T4LrOmiqo	2	Ilion Medical LLC
org_01iRrlTjKurx15WOysKD	2	Emcore Corporation
org_01lbOr6cnbOuGbNxrc0r	3	Dongguan China-Mold Electromechanical Equipment Co. Ltd.
org_01MFFR4ZVoljORFTz1Wn	2	DVO Licensing, Inc.
org_01mYCFebmXKbqM4dxdE6	3	Evoqua Water Technologies Pte. Ltd.
org_01o1FvR2sF48MgB6F2jH	3	Pigmentan Ltd.
org_01P4qcaQFdhXrMHb9VSk	2	Signature Companies
org_01qQEqZaOfEpmHej1W2u	3	RAGASA INDUSTRIAS, S.A. DE C.V.
org_01rzLZ9mamgMYe2GEbhD	2	Puradyn Filter Technologies, Inc.
org_01WeRwHcd0lW8AoYb5NZ	2	NEXTBIT SYSTEMS INC.
org_01yQyQuuBbNY47r4Zhjz	3	Yuken Industry Co., Ltd.
org_0249dgshVYaSLZWWJhqX	2	Cannuflow, Inc.
org_024f8ehmcGWuIsu3MHPu	2	Earthone Circuit Technologies Corporation
org_02dBiMf1fPiAg9d7DHJF	2	Ness Inventions, Inc.
org_02ED7O2ABFcG01nls75v	3	Nice Systems Technologies UK Limited
org_02F9XN4OxaORh7zngUPM	3	Dayco Europe S.r.L. Con Unico Socio
org_02GWJ3CIxecCtTQEZJQq	2	MECTA CORPORATION
org_02JZDqYfV68g0PTVTSUj	3	Fosber S.p.A.
org_02mFvFBc9mtff2J4VW2n	2	Ultrasonic Energy Efficiency Solutions LLC
org_02orYyAnYLLmnbNLkVXx	2	Squigle, Inc.
org_02q3CU7JhUsdsNct1vPb	3	Yuhan Corporation
org_02UAw2zRxcZpuyamV4Zs	2	Unspam, LLC
org_02WzQxffl9VTOqsoAchP	3	2343127 Ontartio Inc.
org_02X38ekRP6nT4nEsJtVL	2	Alphabet Energy, Inc.
org_02yqAIoetoAEehnYbanp	3	Gemue Gebr. Mueller Apparatelbau GmbH & Co. KG
org_02YzXZBNxV8ccGBDi6re	2	Juniper Networks, Inc.
org_034xV9EtvLKhBIBov9OZ	2	Newaer, Inc.
org_03Fl5m4V7uFSGaDM8ez8	2	LUMENETIX, INC.
org_03fpPLg7F0IA2dkk5S4S	2	Ranicr, LLC
org_03g5aT0p3Ioos1x78WB9	3	Vector Corrosion Technologies Ltd.
org_03iByrYq0F2kRDUbYdS5	3	Osaka Prefectural Hospital Organization
org_03MuPa4VrPunn1N6Ec6X	3	Doona Holdings Ltd
org_03pneWL6cVPzFgqBNWjP	3	Norfolk Plant Sciences Limited
org_03Ter8LKqSKHaogeFO6X	2	Cytovera Inc.
org_03YtOYAGlsMDHj75ZwDh	2	Sigma Instruments, Inc.
org_03ZAaxkrAUvfj3NcBNIg	2	Biomet 3i, LLC
org_04Bxviqf41sqKKRDaw91	3	Tasly Pharmaceutical Group Co., Ltd.
org_04cmXbzXzJV3zlkmnz2M	3	Silitec Fibers SA
org_04dWDYllSwSvmxHo7uFa	2	Moeller Manufacturing Co., Inc.
org_04gA2w1SZZQCZiT2jmKC	2	Wet Nose Technologies, LLC
org_04GH3q7dJhxje6uHvqDX	2	FlipKey, Inc.
org_04GUNjJcIXQ3dXoTw06n	3	Zuna Corporation
org_04HMyawD23w4GedXQpEh	2	Honeywell Federal Manufacturing & Technologies, LLC
org_04i8e332dIyTnrdJiiiN	3	AGRIMARINE INDUSTRIES INC.
org_04JotV6NSvRd1VWIBPQD	2	Calumet Penreco, LLC
org_04k5MYrTaszxSrBj4T1t	3	F—Secure Corporation
org_04n2d5hiYZRlJNNtfU8u	3	Schrader SAS
org_04o3dUyiZgsERPZvT9d5	2	ViSalus Holdings, LLC
org_04PJa5DGRr0gyHEAElZO	3	STANTEC TECHNOLOGY INTERNATIONAL, INC.
org_04QGlAeeYdqB5qqqTI5Y	2	Control4 Corporation
org_059qirP1zAJqUMb3ERJD	2	Forte USA
org_05Afu8FpLAmzRPk6Sw1Z	3	Octasic Inc.
org_05CMHWrssNcTbiYsIvZD	3	Eide Marine Services AS
org_05exL5ONTSAZUmwhc8z5	2	Konvax Corporation
org_05gooHXOmrIHQHZy5yU6	2	HOUWELING NURSERIES OXNARD, INC.
org_05MHD155znwBiRb89Ozm	3	FSP-Powerland Technology Inc.
org_05oNsvcfC9mNgviwx3VR	2	BMC Software, Inc.
org_05rXQ8txe6oOoLEfvUT9	3	Liung Feng Industrial Co., Ltd.
org_05siTETDnewX0lLN3nhn	2	Case Systems, Inc.
org_05tGL4wb40eUJK8hsvvD	2	Smithway, Inc.
org_06B3t5hXouTpahTC701t	2	Medical Diagnostics Laboratories, LLC
org_06jLBnjkJEnKtE61Ylld	3	Identify Software Ltd.
org_06kpJ34KyjCbDaL12tEQ	3	Macro-M S.A. de C.V.
org_06LsJz3TJ3cgHToo0geQ	3	Kabushiki Kaisha Shofu
org_06Mjj6ry0mRw4BPDhzcC	2	T.F.H. Publications, Inc. 
org_06NAOhTvnJbY5DmtypE0	3	RAISE PRODUCTION INC.
org_06R4XEpdzJIwE97pyR0v	2	Harmsco, Inc.
org_070OEXdV5EYi6nATyxFh	2	Action Extraction, Inc.
org_073mNPFxezFKBv8T79v4	2	Fraen Corporation
org_07DaBHgE380WeilF8mlY	2	Unverferth Manufacturing Company, Inc.
org_07HqOYnamdfQGF7Tiz6F	3	QBAS Co., Ltd.
org_07jl07MqvhYN1yEwNgMl	2	ST Reproductive Technologies, LLC
org_07jwRbR9f7aehPfsbSw7	2	Principle Power, Inc.
org_07ppI9n1n7oCr4cY9Uw6	3	The Concentrate Manufacturing Company of Ireland
org_07pRi4DnzvVTsjARhjsm	2	Alzheimer's Institute of America, Inc.
org_07SLcs2zoJVASKlBzy2M	3	Uranus International Limited
org_07U02JwBdM90zkrwlOFN	2	Clarient Diagnostic Services, Inc.
org_07xho4InZ1IW1lRXAR6c	3	ONCIMMUNE LTD.
org_081MNnEYMpTc36NwhEWh	2	Orative Corporation
org_0868F5DLjFO6uwSICyYT	2	Roanoke College
org_08cIFv5M28DnG3B2jrly	3	North China Electric Power University
org_08dcnkizcm4OBHMq56y2	3	Eurofarma Laboratories S.A.
org_08dLgUfnWGYbBErYPNDI	3	WAVEFRONT BIOMETRIC TECHNOLOGIES PTY LIMITED
org_08DxJaf8uiYgvj25EERD	2	Tetraphase Pharmaceuticals, Inc.
org_08GqUT3BuIRSWp1Ofz6I	3	TheraMAB LLC
org_08JH4w8k2RWH9exUDOOv	2	Atila Biosystems, Inc.
org_08JVfHj6KF4ecnbEvD9a	2	Invidi Technologies Corporation
org_08lRSBsORTftdW0B7pLk	3	Ningbo Beari Plastic Products & Electric Appliance Co., Ltd.
org_08wJ2PKHAjkGcRwjl4Lh	2	Rembee Inc.
org_08wjg0RLmpN5rpnKxg3o	2	Contec Holdings, Ltd.
org_08WuijWHFDlFLWKSqcN3	3	Capella Microsystems (Taiwan), Inc.
org_08ZoZC0NDcZpNtJ0SniX	3	VMI
org_08zr1WiGE609JSQiL6no	2	Tag, LLC
org_097d448aE405NRZOkDpH	3	Hummel AG
org_0985kI94y1SqhQhgkuof	3	Poweltec
org_09BIpi5rAJf6pRQdRtqD	2	AVIATION COMMUNICATION & SURVEILLANCE SYSTEMS LLC
org_09DJksIp8kqrgKtq8ozN	2	Formae, Inc.
org_09dtgzoynNhNo2o8wkwo	3	Coremedia AG
org_09DY3XhyZMe1jbNqu2zY	3	Quality Intervention AS
org_09fzcS0l2ODflD3IuGpB	2	Neptune Technology Group Inc.
org_09GlNtUOBysx8ShI1626	3	Prophix Software Inc.
org_09GVUzL1TxwJQhljsuez	3	Nhwa Pharma. Corporation
org_09qTWk7nSmGVjp3lcVNF	3	EOS Imaging
org_09ttteFeKTBOHwhZ3cck	2	GT Angel, LLC
org_0A2UArjVdjwUv28aLMHB	2	Kennedy Metal Products & Buildings, Inc.
org_0A4FBqDAAzaGzEKWrr6U	3	Amada Company, Limited
org_0a6oXL4Ol2B9BwXU8PMx	2	American Science and Engineering, Inc.
org_0a6tjtZkyED38gJipX3i	2	Century, LLC
org_0A77qUYkUVQPPSAOnnBC	3	Heidelberg Institute For Theoretical Studies (Hits)
org_0AaFxxLl3pUBbZvV6v3d	3	Really Virtual Company Limited
org_0ABfuLEeoRFj7GX6hUjZ	2	Transportation Technologies, Inc.
org_0abYUMyex49CLBJtw5j4	2	BreatheAtor Vest Systems LLC
org_0AdMzUrB1JmF9sG4eBQ1	2	Veracyte, Inc.
org_0afvx7LAuPLrecLYlZYT	2	Monaco RV, LLC
org_0AgSSEF6vrPrbCKmVwdL	3	Oxbridge Creation Limited
org_0aht0nBKX7nqamQxBzG7	3	Medivir AB
org_0AhUTK7yrVMk1yAGu9nk	2	Spinal USA, Inc.
org_0aiKsIVJwNesqaNLu2RP	2	MerchSource, LLC
org_0aJ0WSKog58YpKcty2is	3	Lomold Corporation NV
